City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Rikitea,0,PF,1644432157,67,-23.1203,-134.9692,78.78,16.49
Katangli,100,RU,1644432359,93,51.7102,143.2326,12.31,11.05
Balkanabat,0,TM,1644432360,29,39.5108,54.3671,54.36,7.81
Ushuaia,40,AR,1644432105,41,-54.8,-68.3,58.62,14.97
Pevek,100,RU,1644432361,99,69.7008,170.3133,-31.9,5.5
Chokurdakh,71,RU,1644432361,99,70.6333,147.9167,-37.16,9.06
Conakry,4,GN,1644432261,58,9.538,-13.6773,86.07,6.91
Bluff,73,NZ,1644432362,96,-46.6,168.3333,59.81,6.55
Puerto Ayora,70,EC,1644432362,72,-0.7393,-90.3518,80.56,9.86
Kaitangata,100,NZ,1644432362,99,-46.2817,169.8464,58.62,7.96
Abhā,0,SA,1644432362,77,18.2164,42.5053,58.82,5.75
New Norfolk,98,AU,1644432363,65,-42.7826,147.0587,62.1,1.01
Port Alfred,1,ZA,1644432363,84,-33.5906,26.891,68.41,7.58
Kudahuvadhoo,100,MV,1644432363,70,2.6708,72.8944,81.79,10.58
Hilo,100,US,1644432364,92,19.7297,-155.09,73.26,8.05
Los Algarrobos,40,PA,1644432364,48,8.5,-82.4333,88.21,6.91
Lakes Entrance,14,AU,1644432364,92,-37.8811,147.981,62.17,5.5
Kapaa,40,US,1644432364,80,22.0752,-159.319,74.19,11.5
Diego de Almagro,0,CL,1644432365,21,-26.3667,-70.05,81.7,15.43
Qaanaaq,99,GL,1644432365,78,77.484,-69.3632,-20.99,4.52
Sakakah,80,SA,1644432365,33,29.9697,40.2064,69.37,10.96
Barrow,0,US,1644432365,62,71.2906,-156.7887,-23.78,14.97
Iqaluit,20,CA,1644432366,62,63.7506,-68.5145,-16.31,12.66
Punta Arenas,37,CL,1644432366,37,-53.15,-70.9167,53.11,28.83
Tshikapa,77,CD,1644432366,80,-6.4167,20.8,75.63,1.36
Nikolskoye,100,RU,1644432367,93,59.7035,30.7861,35.71,8.61
Lauterbach,100,DE,1644432143,89,50.6333,9.4,46.8,4.12
Mataura,100,NZ,1644432367,99,-46.1927,168.8643,59.49,1.41
Haines Junction,34,CA,1644432370,93,60.7522,-137.5108,35.55,6.91
Hong Kong,100,HK,1644432268,83,22.2855,114.1577,62.94,5.99
Lábrea,100,BR,1644432371,89,-7.2586,-64.7981,79.75,3.09
Los Arabos,45,CU,1644432372,35,22.7281,-80.7214,89.62,8.68
Saint Paul Harbor,0,US,1644432372,63,57.79,-152.4072,24.31,8.05
Mar del Plata,0,AR,1644432146,69,-38.0023,-57.5575,78.82,12.66
Novy Urengoy,60,RU,1644432177,93,66.0833,76.6333,-3.57,11.59
Ballina,7,AU,1644432373,99,-28.8667,153.5667,62.78,0.0
Cabo San Lucas,22,MX,1644432374,40,22.8909,-109.9124,80.62,1.99
Kabo,92,CF,1644432374,14,7.6994,18.629,79.39,5.73
Fortuna,17,US,1644432374,38,40.5982,-124.1573,66.54,4.34
Tucumã,100,BR,1644432374,67,-0.1833,-50.05,84.25,7.18
Krasnosel'kup,51,RU,1644432375,87,65.7,82.4667,-11.74,10.6
Faanui,21,PF,1644432375,77,-16.4833,-151.75,81.18,16.24
Busselton,8,AU,1644432375,69,-33.65,115.3333,61.09,10.92
Shurugwi,10,ZW,1644432376,47,-19.6702,30.0059,67.32,4.54
Saint-Philippe,83,RE,1644432376,82,-21.3585,55.7679,74.79,6.82
Marawi,100,PH,1644432376,95,7.9986,124.2928,67.64,1.54
Salalah,0,OM,1644432170,14,17.0151,54.0924,75.29,8.05
Namatanai,42,PG,1644432377,82,-3.6667,152.4333,78.76,0.69
Thompson,40,CA,1644432377,65,55.7435,-97.8558,-3.84,3.44
Hasaki,100,JP,1644432377,58,35.7333,140.8333,39.6,13.33
Upernavik,100,GL,1644432377,69,72.7868,-56.1549,-12.41,8.59
Tikhvin,82,RU,1644432378,98,59.6451,33.5294,22.37,7.14
Fort Walton Beach,0,US,1644432378,41,30.4058,-86.6188,65.52,10.36
Longyearbyen,75,SJ,1644432378,72,78.2186,15.6401,8.44,9.22
Russell,0,US,1644432379,32,32.3502,-85.1999,63.37,8.05
Bredasdorp,7,ZA,1644432379,64,-34.5322,20.0403,70.92,12.66
Al Bardīyah,60,LY,1644432379,53,31.7561,25.0865,53.35,23.04
Vao,100,NC,1644432379,88,-22.6667,167.4833,80.29,27.83
Airai,100,TL,1644432379,93,-8.9266,125.4092,61.39,1.14
Itoman,75,JP,1644432380,82,26.1247,127.6694,63.37,5.75
Jamestown,40,US,1644432380,52,42.097,-79.2353,49.32,16.11
Ciudad Bolivar,100,VE,1644432380,28,8.1222,-63.5497,95.32,9.24
George Town,20,MY,1644432381,97,5.4112,100.3354,79.95,3.44
Labuan,20,MY,1644432381,88,5.2767,115.2417,80.96,5.01
Tuatapere,48,NZ,1644432381,97,-46.1333,167.6833,59.83,0.96
Port Lincoln,100,AU,1644432381,75,-34.7333,135.8667,61.03,6.98
Alofi,100,NU,1644432382,100,-19.0595,-169.9187,75.09,3.44
Izhma,80,RU,1644432382,85,65.0083,53.9113,15.55,13.09
Port Blair,20,IN,1644432382,78,11.6667,92.75,78.84,5.75
Hermanus,13,ZA,1644432338,89,-34.4187,19.2345,69.91,10.56
Saskylakh,40,RU,1644432383,97,71.9167,114.0833,-9.76,7.25
Solnechnyy,100,RU,1644432383,98,50.7214,136.6319,-2.51,2.1
Torbay,75,CA,1644432383,88,47.6666,-52.7314,39.38,26.46
Ribeira Grande,20,PT,1644432384,67,38.5167,-28.7,61.2,11.5
Phan Thiet,81,VN,1644432234,81,10.9333,108.1,73.65,7.9
Safranbolu,94,TR,1644432384,92,41.2508,32.6942,28.83,3.51
Kununurra,60,AU,1644432384,100,-15.7667,128.7333,76.98,3.44
Tasiilaq,26,GL,1644432385,64,65.6145,-37.6368,14.16,11.1
Broome,97,US,1644432385,54,42.2506,-75.833,45.18,12.66
Butaritari,100,KI,1644432385,78,3.0707,172.7902,81.77,16.06
Cap Estate,75,LC,1644432386,83,14.0833,-60.95,83.82,11.5
Santa Fe,0,AR,1644432386,27,-31.6333,-60.7,93.02,7.0
Cayenne,75,GF,1644432386,86,4.9333,-52.3333,77.09,3.44
Ilhabela,42,BR,1644432387,82,-23.7781,-45.3581,75.9,5.82
Khatanga,100,RU,1644432387,92,71.9667,102.5,-1.89,14.47
Tuktoyaktuk,75,CA,1644432388,68,69.4541,-133.0374,-31.0,14.97
Paita,100,PE,1644432388,63,-5.0892,-81.1144,84.76,13.44
Sola,100,VU,1644432388,79,-13.8833,167.55,82.08,26.37
Bathsheba,75,BB,1644432388,65,13.2167,-59.5167,81.21,24.16
Betūl,14,IN,1644432389,44,21.9153,77.8961,62.08,4.27
Constitución,12,CL,1644432389,63,-35.3333,-72.4167,70.84,12.62
Pangnirtung,20,CA,1644432389,64,66.1451,-65.7125,-13.0,2.3
Hobart,100,AU,1644432389,80,-42.8794,147.3294,62.46,6.91
Norman Wells,100,CA,1644432390,59,65.282,-126.8329,-9.36,26.46
Arraial do Cabo,75,BR,1644432390,94,-22.9661,-42.0278,75.16,8.05
Cartagena,40,CO,1644432390,66,10.3997,-75.5144,87.42,16.11
Antofagasta,38,CL,1644432390,66,-23.65,-70.4,72.21,8.63
Ahipara,69,NZ,1644432391,89,-35.1667,173.1667,72.18,10.45
La Palma,0,US,1644432391,18,33.8464,-118.0467,87.49,5.01
East London,0,ZA,1644432236,83,-33.0153,27.9116,68.94,8.05
Vikulovo,6,RU,1644432391,97,56.8167,70.6107,-9.02,5.59
Albany,12,US,1644432392,54,42.6001,-73.9662,43.27,3.0
Cidreira,27,BR,1644432392,62,-30.1811,-50.2056,74.64,11.41
Ferme-Neuve,100,CA,1644432392,84,46.7001,-75.4493,28.18,9.6
Choluteca,6,HN,1644432393,21,13.3005,-87.1846,99.28,4.05
Vaini,20,TO,1644432393,94,-21.2,-175.2,78.96,6.91
Changji,100,CN,1644432393,85,44.0167,87.3167,3.99,4.47
Sistranda,100,NO,1644432393,74,63.7256,8.834,38.89,37.13
Castro,7,BR,1644432393,65,-24.7911,-50.0119,73.47,2.44
Shache,77,CN,1644432394,50,38.4167,77.2406,28.81,1.5
Poya,100,NC,1644432394,93,-21.35,165.15,79.56,13.0
Trelew,75,AR,1644432334,52,-43.249,-65.3051,70.07,6.91
Olafsvik,100,IS,1644432395,51,64.8945,-23.7142,26.31,12.53
Yeppoon,0,AU,1644432395,73,-23.1333,150.7333,69.58,3.96
Acapulco de Juárez,0,MX,1644432395,58,16.8634,-99.8901,84.02,2.3
Wanning,97,CN,1644432396,93,18.8003,110.3967,71.17,5.08
Hamilton,0,US,1644432396,53,39.1834,-84.5333,52.65,14.97
Teknāf,5,BD,1644432396,57,20.8624,92.3058,63.14,8.79
Leningradskiy,100,RU,1644432396,96,69.3833,178.4167,-26.03,9.04
Kampot,34,KH,1644432397,76,10.6167,104.1833,78.85,4.56
Guerrero Negro,98,MX,1644432397,26,27.9769,-114.0611,70.61,5.06
Hithadhoo,13,MV,1644432397,71,-0.6,73.0833,82.69,13.38
Jardim,0,BR,1644432397,16,-21.4803,-56.1381,95.74,3.02
Severo-Kuril'sk,100,RU,1644432398,89,50.6789,156.125,31.3,18.14
Dustlik,100,UZ,1644432398,54,40.5247,68.0358,41.38,6.22
Kitimat,100,CA,1644432398,30,54.0524,-128.6534,44.98,1.01
Muros,1,ES,1644432362,85,42.7762,-9.0603,57.7,5.86
Carnarvon,0,AU,1644432401,73,-24.8667,113.6333,77.07,16.11
Broken Hill,15,AU,1644432401,52,-31.95,141.4333,69.51,17.27
Awjilah,39,LY,1644432401,42,29.1081,21.2869,55.44,9.42
Los Llanos de Aridane,0,ES,1644432371,60,28.6585,-17.9182,67.75,4.61
Palana,25,RU,1644432402,94,59.1167,159.9667,-6.16,4.34
Sal Rei,0,CV,1644432402,50,16.1833,-22.9167,80.8,14.97
Sibolga,100,ID,1644432402,96,1.7427,98.7792,74.26,3.27
Derzhavīnsk,98,KZ,1644432403,97,51.1,66.3167,13.23,5.91
Katsuura,100,JP,1644432403,70,35.1333,140.3,44.19,15.97
Provideniya,13,RU,1644432403,84,64.3833,-173.3,-16.69,5.99
Lebu,0,CL,1644432403,63,-37.6167,-73.65,64.18,21.54
Coquimbo,16,CL,1644432233,70,-29.9533,-71.3436,69.01,6.87
Lázaro Cárdenas,0,MX,1644432404,57,17.9583,-102.2,81.77,10.29
Talcahuano,0,CL,1644432404,67,-36.7167,-73.1167,66.22,14.41
Poum,100,NC,1644432405,87,-20.2333,164.0167,81.16,29.12
Two Rivers,100,US,1644432405,81,44.1539,-87.5693,39.99,17.27
Vanimo,93,PG,1644432405,90,-2.6741,141.3028,76.59,3.22
Esperance,5,AU,1644432406,83,-33.8667,121.9,58.84,8.99
Atuona,25,PF,1644432406,79,-9.8,-139.0333,77.92,18.1
Jacksonville,0,US,1644432315,53,30.3322,-81.6556,64.09,9.22
Barranca,96,PE,1644432406,65,-10.75,-77.7667,74.8,9.93
Zhifang,18,CN,1644432407,83,30.35,114.3167,33.78,2.28
Vila Franca do Campo,5,PT,1644432407,75,37.7167,-25.4333,63.19,8.95
Vrangel',86,RU,1644432408,90,42.7297,133.0839,27.91,4.0
Lugazi,100,UG,1644432408,77,0.3772,32.9197,71.28,3.06
Kenora,100,CA,1644432408,79,49.8167,-94.4337,17.58,15.01
Igurubi,47,TZ,1644432409,80,-4.0,33.7,67.91,3.62
Loa Janan,100,ID,1644432409,100,-0.583,117.095,73.35,2.51
Yellowknife,100,CA,1644432409,86,62.456,-114.3525,-8.59,8.05
Kahului,20,US,1644432410,73,20.8947,-156.47,75.85,8.99
Kansanshi,44,ZM,1644432410,91,-12.0951,26.4273,61.81,2.98
Kavieng,88,PG,1644432410,80,-2.5744,150.7967,80.94,6.73
Teresa,76,PH,1644432410,87,14.5833,121.2333,78.08,4.7
Krasnyye Chetai,100,RU,1644432411,98,55.6887,46.1386,30.69,8.1
Seymchan,80,RU,1644432411,100,62.8833,152.4333,-42.23,0.81
Qaqortoq,76,GL,1644432411,70,60.7167,-46.0333,14.5,9.28
Port Hedland,40,AU,1644432411,89,-20.3167,118.5667,78.85,6.91
Mahébourg,40,MU,1644432412,83,-20.4081,57.7,77.29,4.61
Duartina,23,BR,1644432412,49,-22.4144,-49.4039,88.95,6.49
Abu Samrah,100,SY,1644432412,86,35.3029,37.1841,47.03,9.33
Karratha,44,AU,1644432412,67,-20.7377,116.8463,84.79,5.12
Rayachoti,5,IN,1644432413,80,14.05,78.75,65.61,4.47
Yulara,0,AU,1644432414,53,-25.2406,130.9889,75.04,5.75
Khandyga,67,RU,1644432414,100,62.6667,135.6,-38.11,0.76
Furao,94,PH,1644432415,92,17.0329,121.7981,69.57,2.59
Florida,0,US,1644432415,41,28.7505,-82.5001,67.21,5.75
Cho Dok,92,VN,1644432415,88,10.7,105.1167,72.91,3.76
Carutapera,99,BR,1644432415,84,-1.195,-46.02,80.51,5.64
Korla,100,CN,1644432416,48,41.7597,86.1469,26.06,3.02
Maţāy,4,EG,1644432416,49,28.419,30.7792,53.73,13.6
Avarua,20,CK,1644432416,89,-21.2078,-159.775,78.85,1.14
Port Hardy,100,CA,1644432417,93,50.6996,-127.4199,46.76,11.5
High Rock,100,BS,1644432417,82,26.6208,-78.2833,68.02,14.09
San Juan Bautista,9,PE,1644432417,40,-14.0108,-75.7358,70.18,15.05
Placerville,0,US,1644432417,31,38.7296,-120.7986,73.94,5.75
Launceston,40,AU,1644432418,88,-41.45,147.1667,60.44,10.36
Hecun,0,CN,1644432418,46,36.5333,114.1111,37.2,4.09
Geraldton,0,AU,1644432418,82,-28.7667,114.6,64.81,8.05
Aklavik,100,CA,1644432418,69,68.2191,-135.0107,-22.97,9.22
Pisco,0,PE,1644432419,83,-13.7,-76.2167,75.02,10.36
Comodoro Rivadavia,40,AR,1644432419,31,-45.8667,-67.5,73.26,9.22
Nanortalik,84,GL,1644432419,64,60.1432,-45.2371,21.49,3.71
Pouembout,100,NC,1644432419,93,-21.1333,164.9,79.12,14.05
Taoudenni,2,ML,1644432420,13,22.6783,-3.9836,73.24,11.18
Alghero,0,IT,1644432420,81,40.5589,8.3181,50.09,3.44
South Lake Tahoe,0,US,1644432421,44,38.9332,-119.9844,55.87,3.44
Columbus,20,US,1644432228,59,39.9612,-82.9988,47.91,21.85
Noumea,100,NC,1644432421,99,-22.2763,166.4572,82.0,15.64
Portland,75,US,1644431916,83,45.5234,-122.6762,54.61,1.99
Cherskiy,79,RU,1644432422,100,68.75,161.3,-44.88,4.18
Mossamedes,100,AO,1644432422,75,-15.1961,12.1522,74.97,12.08
Buala,38,SB,1644432423,84,-8.145,159.5921,79.02,6.78
Bengkulu,100,ID,1644432370,71,-3.8004,102.2655,76.68,7.45
Curaçá,32,BR,1644432423,22,-8.9903,-39.9094,97.27,5.39
Maceió,40,BR,1644432423,55,-9.6658,-35.7353,89.04,16.11
Cockburn Town,20,TC,1644432424,54,21.4612,-71.1419,82.36,16.11
Henties Bay,0,NA,1644432424,82,-22.116,14.2845,69.85,4.81
Cape Town,0,ZA,1644432406,75,-33.9258,18.4232,71.89,9.22
Yenagoa,100,NG,1644432425,63,4.9247,6.2642,83.26,8.86
Coxim,100,BR,1644432425,44,-18.5067,-54.76,86.4,2.13
Brodokalmak,100,RU,1644432425,99,55.5748,62.082,13.1,1.77
Barra de Tecoanapa,2,MX,1644432426,57,16.5167,-98.75,82.51,10.47
Okato,99,NZ,1644432426,94,-39.2,173.8833,70.92,10.8
Santarém,40,BR,1644432129,78,-2.4431,-54.7083,82.53,2.3
Bethel,0,US,1644432426,51,41.3712,-73.414,46.29,8.05
Dikson,99,RU,1644432427,94,73.5069,80.5464,0.36,21.72
Wilmington,0,US,1644432427,39,34.2257,-77.9447,59.99,1.01
Okhotsk,100,RU,1644432427,81,59.3833,143.3,7.3,7.94
Kirs,100,RU,1644432427,95,59.3388,52.2447,20.91,9.6
Djougou,21,BJ,1644432428,13,9.7085,1.666,91.51,5.35
Egvekinot,1,RU,1644432181,81,66.3167,-179.1667,-23.49,9.53
Øksfjord,97,NO,1644432428,77,70.2396,22.3479,23.92,10.94
Grand Gaube,5,MU,1644432429,75,-20.0064,57.6608,77.4,1.99
Dingle,100,PH,1644432429,89,10.9995,122.6711,73.18,8.05
Christchurch,100,NZ,1644432429,96,-43.5333,172.6333,63.91,1.14
Hella,100,NO,1644432430,97,67.2,14.4333,32.88,17.27
Bras-Panon,30,RE,1644432430,93,-20.9967,55.6782,74.86,7.49
Palimbang,86,PH,1644432430,84,6.2106,124.1894,77.67,3.83
Puerto Escondido,0,MX,1644432431,65,15.85,-97.0667,85.03,5.75
Ostrovnoy,100,RU,1644432431,85,68.0531,39.5131,24.57,23.29
Najrān,0,SA,1644432431,28,17.4924,44.1277,61.45,2.95
Kiunga,100,PG,1644432431,100,-6.1219,141.2906,73.96,0.83
Pita,98,GN,1644432432,14,10.8333,-12.5833,84.58,5.64
Mongo,1,TD,1644432432,9,12.1844,18.693,75.4,6.96
Impfondo,100,CG,1644432432,30,1.6381,18.0667,80.4,2.66
Mahanoro,13,MG,1644432433,93,-19.9,48.8,76.91,5.91
Diapaga,10,BF,1644432433,10,12.0708,1.7889,83.95,7.56
Chokwé,0,MZ,1644432434,60,-24.5333,32.9833,80.4,10.76
Kaputa,100,ZM,1644432434,87,-8.4689,29.6619,69.84,2.71
Xining,100,CN,1644432435,86,36.6167,101.7667,16.5,1.63
Hambantota,20,LK,1644432436,94,6.1241,81.1185,75.54,4.61
Alice Springs,20,AU,1644432436,68,-23.7,133.8833,72.95,5.75
Itaqui,0,BR,1644432437,16,-29.1253,-56.5531,92.75,8.03
Merauke,98,ID,1644432437,87,-8.4667,140.3333,78.01,5.88
Mandalgovi,86,MN,1644432437,90,45.7625,106.2708,2.07,8.55
Robertsport,5,LR,1644432439,81,6.7533,-11.3686,80.82,10.27
Port Macquarie,3,AU,1644432439,81,-31.4333,152.9167,60.76,4.23
Sorong,100,ID,1644432440,83,-0.8833,131.25,78.93,2.46
Yar-Sale,22,RU,1644432440,95,66.8333,70.8333,1.99,13.33
Toora-Khem,100,RU,1644432440,100,52.4675,96.11,-19.68,1.61
Chui,70,UY,1644432440,57,-33.6971,-53.4616,73.92,11.39
Cobija,75,BO,1644432441,62,-11.0267,-68.7692,89.78,0.0
Clyde,100,US,1644432441,100,41.3042,-82.9752,43.12,14.63
Baker City,75,US,1644432441,86,44.7749,-117.8344,47.14,0.0
Saint George,0,US,1644432442,19,37.1041,-113.5841,62.35,1.01
Kholm,100,RU,1644432442,97,59.2667,32.85,25.38,8.37
Lorengau,59,PG,1644432442,80,-2.0226,147.2712,80.98,3.27
Rovaniemi,100,FI,1644432442,93,66.5,25.7167,27.81,14.97
Sunland Park,0,US,1644432443,24,31.7965,-106.58,61.25,5.75
Kirakira,100,SB,1644432443,88,-10.4544,161.9205,79.16,9.8
Kolomna,89,RU,1644432443,97,55.0794,38.7783,30.45,6.24
Wanaka,100,NZ,1644432444,95,-44.7,169.15,63.23,2.91
Ponta do Sol,100,PT,1644432444,65,32.6667,-17.1,69.71,7.61
Chotěboř,100,CZ,1644432444,82,49.7207,15.6702,42.62,8.46
Kiryat Gat,16,IL,1644432444,100,31.61,34.7642,56.08,15.43
Auki,98,SB,1644432445,89,-8.7676,160.7034,77.86,8.19
Siilinjärvi,100,FI,1644432445,93,63.0833,27.6667,28.42,5.75
Seoul,0,KR,1644432215,69,37.5683,126.9778,29.64,3.44
Matagami,100,CA,1644432445,80,49.7502,-77.6328,23.11,13.8
Dongsheng,0,CN,1644432446,59,39.8161,109.9776,19.29,10.11
Hervey Bay,2,AU,1644432446,87,-25.2986,152.8535,68.11,8.01
Mulchén,0,CL,1644432446,11,-37.7167,-72.2333,89.04,8.5
Punta Alta,2,AR,1644432446,31,-38.8759,-62.0736,87.53,9.78
Garoowe,32,SO,1644432447,67,8.4054,48.4845,68.94,19.84
Marshall,0,US,1644432447,37,34.3834,-86.3333,63.12,20.71
Marabu,40,MY,1644432448,94,4.4148,114.0089,78.94,0.0
Nieuw Amsterdam,20,SR,1644432448,62,5.8833,-55.0833,90.14,6.91
Bhandāra,12,IN,1644432448,70,21.1667,79.65,73.99,3.04
Tinskoy,100,RU,1644432449,100,56.1525,96.9161,-23.12,0.76
Kuching,40,MY,1644432449,94,1.55,110.3333,75.42,3.44
Shwebo,4,MM,1644432449,49,22.5667,95.7,61.3,4.27
