City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Grootfontein,85,NA,1644432449,64,-19.5667,18.1167,71.17,0.0
Maple Creek,7,CA,1644432450,56,49.9168,-109.4848,41.41,11.5
Mataram,100,ID,1644432450,85,-8.5833,116.1167,77.81,3.22
Belmonte,8,BR,1644432451,68,-15.8631,-38.8828,84.7,9.4
Bambous Virieux,40,MU,1644432451,83,-20.3428,57.7575,77.25,4.61
Fort Nelson,100,CA,1644432451,85,58.8053,-122.7002,4.59,11.5
Vernon,97,CA,1644432452,82,50.2581,-119.2691,42.13,3.0
Itacoatiara,90,BR,1644432312,79,-3.1431,-58.4442,83.5,0.96
Lüderitz,2,NA,1644432452,48,-26.6481,15.1594,76.33,19.26
Foso,46,GH,1644432452,71,5.7012,-1.2866,80.76,7.94
College,100,US,1644432453,75,64.8569,-147.8028,-6.41,4.61
Langxiang,100,CN,1644432453,99,46.95,128.8833,5.23,1.03
Rio Grande,46,BR,1644432453,53,-32.035,-52.0986,80.71,10.83
The Valley,75,AI,1644432453,83,18.217,-63.0578,80.46,14.97
Kovdor,100,RU,1644432454,92,67.5662,30.4758,23.02,8.63
Saint-Leu,41,RE,1644432392,79,-21.15,55.2833,74.26,3.8
Buin,0,CL,1644432454,20,-33.7333,-70.75,88.05,13.58
Kembé,98,CF,1644432454,25,4.6228,21.8865,76.87,1.81
Skoczów,100,PL,1644432343,88,49.8009,18.7877,44.06,6.24
Saint Anthony,100,US,1644432455,72,45.0205,-93.218,35.44,17.27
Dovbysh,99,UA,1644432455,90,50.3733,27.9874,33.58,7.38
Tura,5,IN,1644432456,65,25.5198,90.2201,56.55,3.71
Pizarro,90,CO,1644432456,79,4.9533,-77.366,79.9,7.2
Bodden Town,75,KY,1644432456,70,19.2833,-81.25,83.98,8.05
Rocha,3,UY,1644432456,49,-34.4833,-54.3333,76.55,11.01
Raudeberg,100,NO,1644432457,87,61.9875,5.1352,41.2,11.01
Hofn,20,IS,1644432457,63,64.2539,-15.2082,26.62,21.85
Lompoc,0,US,1644432457,29,34.6391,-120.4579,83.57,5.75
Zaraza,100,VE,1644432458,26,9.3503,-65.3245,95.41,8.66
Bandarbeyla,100,SO,1644432458,67,9.4942,50.8122,75.24,20.04
Zaysan,90,KZ,1644432458,88,47.4667,84.8667,1.98,4.25
Tabriz,15,IR,1644432414,69,38.08,46.2919,33.26,6.91
Andros Town,27,BS,1644432459,67,24.7,-77.7667,82.36,8.25
Saint-Augustin,100,CA,1644432459,82,51.226,-58.6502,31.53,19.57
Itaituba,40,BR,1644432459,62,-4.2761,-55.9836,89.76,4.61
Oranjemund,0,NA,1644432460,82,-28.55,16.4333,65.44,12.84
Nome,100,US,1644432460,77,64.5011,-165.4064,-9.33,11.5
Haverfordwest,100,GB,1644432460,85,51.8017,-4.9691,48.54,6.93
Mabaruma,20,GY,1644432460,78,8.2,-59.7833,82.4,4.61
Lianzhou,100,CN,1644432461,94,24.7811,112.3825,42.76,2.55
Arroyo de la Encomienda,0,ES,1644432461,52,41.6096,-4.7969,54.14,5.75
Presidente Dutra,100,BR,1644432405,87,-5.29,-44.49,81.28,3.02
Chapais,100,CA,1644432463,84,49.7834,-74.8492,19.18,9.53
Sheridan,75,US,1644432463,42,44.8333,-106.9173,46.78,21.85
Faya,5,SA,1644432463,79,18.3851,42.4509,59.11,3.67
Tongchuanshi,34,CN,1644432463,69,35.0806,109.0897,29.14,3.02
Natá,45,PA,1644432464,41,8.3333,-80.5167,88.47,17.49
Chickasha,0,US,1644432464,23,35.0526,-97.9364,67.28,10.36
Oktyabr'skiy,100,RU,1644432464,92,54.4815,53.471,20.88,12.44
Talnakh,99,RU,1644432352,96,69.4865,88.3972,-3.8,10.58
Acarí,10,PE,1644432465,53,-15.4311,-74.6158,81.9,12.15
Mbekenyera,100,TZ,1644432465,97,-10.0,38.9833,71.62,4.32
Cabedelo,53,BR,1644432465,62,-6.9811,-34.8339,86.67,10.71
Halifax,75,CA,1644432466,76,44.6453,-63.5724,41.49,15.01
Kyzyl-Suu,100,KG,1644432466,77,42.3414,78.0056,20.64,8.46
Omboué,100,GA,1644432466,87,-1.5746,9.2618,78.39,6.87
Savannah,0,US,1644432466,41,32.0835,-81.0998,60.96,6.91
Kruisfontein,0,ZA,1644432467,82,-34.0033,24.7314,65.88,3.98
Yelizovo,75,RU,1644432467,100,53.1873,158.3805,21.34,4.47
Saldanha,0,ZA,1644432467,89,-33.0117,17.9442,69.85,7.45
Nirgua,91,VE,1644432468,60,10.1553,-68.5663,78.15,3.62
Codrington,100,AU,1644432468,82,-38.2667,141.9667,58.46,5.7
Evensk,24,RU,1644432468,72,61.95,159.2333,-12.01,5.66
Dukat,75,RU,1644432468,67,62.55,155.55,-20.78,3.44
Panabá,79,MX,1644432469,56,21.2833,-88.2667,77.18,14.61
Sochi,100,RU,1644432370,90,43.6,39.7303,41.09,6.82
Shingū,100,JP,1644432469,80,33.7333,135.9833,42.91,3.53
Celendín,87,PE,1644432470,66,-6.8703,-78.1517,63.12,4.09
Eureka,4,US,1644432470,49,40.8021,-124.1637,66.81,6.44
Palmital,28,BR,1644432470,61,-22.7889,-50.2175,80.85,4.94
Aykhal,99,RU,1644432471,80,66.0,111.5,-11.29,3.24
Southport,40,GB,1644432471,84,53.6478,-3.0065,45.9,9.22
Manacapuru,68,BR,1644432312,66,-3.2997,-60.6206,77.58,2.71
Vila Velha,40,BR,1644432346,82,-20.3297,-40.2925,75.94,14.97
Amahai,100,ID,1644432471,85,-3.3333,128.9167,78.53,7.83
Conceição do Araguaia,100,BR,1644432472,64,-8.2578,-49.2647,85.93,3.44
Laas,6,IT,1644432472,35,46.6166,10.7002,54.86,2.13
Linhares,62,BR,1644432472,69,-19.3911,-40.0722,83.57,8.79
Tautira,37,PF,1644432473,74,-17.7333,-149.15,84.22,17.85
Preston,40,GB,1644432307,86,53.7667,-2.7167,45.16,9.22
Sitka,100,US,1644432473,87,57.0531,-135.33,46.29,11.5
Carballo,0,ES,1644432309,89,43.213,-8.691,58.69,4.52
Vilyuysk,81,RU,1644432474,100,63.7553,121.6247,-41.94,1.23
Osypenko,56,UA,1644432474,85,46.9136,36.8253,33.84,7.87
Muli,97,MV,1644432474,74,2.9167,73.5667,81.59,10.58
Northam,100,GB,1644432475,96,51.0333,-4.2167,51.03,8.5
Isabela,100,PH,1644432475,87,6.7085,121.9711,78.85,4.43
Nador,40,MA,1644432475,77,35.174,-2.9287,57.45,6.91
Kontagora,0,NG,1644432475,12,10.3999,5.4695,84.74,4.16
Tiarei,27,PF,1644432476,76,-17.5333,-149.3333,84.22,18.3
Tūkrah,5,LY,1644432476,60,32.5341,20.5791,52.75,13.44
Petropavl,75,KZ,1644432472,99,54.8753,69.1628,-2.72,7.7
Palmerston,75,AU,1644432477,89,-12.486,130.9833,80.58,3.44
Hendek,100,TR,1644432477,98,40.7994,30.7481,37.72,1.1
Meulaboh,100,ID,1644432477,86,4.1363,96.1285,73.74,6.46
Spoleto,3,IT,1644432477,85,42.7448,12.7374,49.95,2.84
Paranaíba,100,BR,1644432478,60,-19.6772,-51.1908,84.4,6.08
Alizai,0,PK,1644432478,48,33.5383,70.3462,45.88,3.38
Safford,0,US,1644432478,20,32.834,-109.7076,65.52,6.87
Patacamaya,88,BO,1644432479,51,-17.2333,-67.9167,57.42,7.2
Gorontalo,100,ID,1644432479,94,0.5412,123.0595,75.15,3.11
Shakawe,25,BW,1644432479,69,-18.3667,21.85,72.9,6.04
Kikwit,36,CD,1644432479,67,-5.041,18.8162,76.64,2.66
Santa Maria,20,BR,1644432479,36,-29.6842,-53.8069,81.7,6.91
São Filipe,7,CV,1644432480,60,14.8961,-24.4956,76.87,4.92
Labuhan,100,ID,1644432480,89,-6.8844,112.2051,76.86,9.6
Voykovo,16,UA,1644432480,78,45.3826,36.4372,38.66,14.07
Port Elizabeth,0,ZA,1644432401,88,-33.918,25.5701,68.09,5.75
Thessalon,100,CA,1644432481,97,46.2501,-83.5666,34.56,12.73
San Cristobal,81,VE,1644432481,55,7.7669,-72.225,78.98,5.68
La Ronge,100,CA,1644432481,72,55.1001,-105.2842,7.05,9.22
Hīt,86,IQ,1644432481,31,33.6416,42.8251,64.26,20.87
Enshi,10,CN,1644432482,89,30.3,109.4833,36.16,0.56
Bartica,77,GY,1644432482,88,6.4,-58.6167,80.92,4.7
Lékoni,90,GA,1644432482,41,-1.5843,14.2591,84.24,4.21
Ossora,47,RU,1644432482,100,59.2353,163.0719,-11.63,2.68
Jiangkou,100,CN,1644432483,87,25.4872,119.1986,49.89,7.58
Puerto del Rosario,94,ES,1644432483,43,28.5004,-13.8627,73.15,0.0
Ambon City,40,ID,1644432483,94,-3.6954,128.1814,75.34,4.61
Krasnyy Chikoy,100,RU,1644432483,98,50.3643,108.7512,-2.29,2.46
Narsaq,85,GL,1644432484,70,60.9167,-46.05,14.22,9.26
Severnyy,100,RU,1644432484,93,50.677,36.5532,32.04,8.95
Oddur,58,SO,1644432484,23,4.1213,43.8894,77.5,12.53
Waipawa,100,NZ,1644432484,97,-41.4122,175.5153,68.63,4.92
Arrondissement de Poitiers,40,FR,1644432221,81,46.5833,0.3333,50.41,12.66
Río Gallegos,40,AR,1644432221,17,-51.6226,-69.2181,62.65,39.12
Lata,0,PT,1644432485,66,40.1629,-8.3327,58.82,0.74
Coolum Beach,4,AU,1644432485,91,-26.5333,153.1,67.33,8.08
Kazanka,69,UA,1644432486,89,47.8462,32.8218,33.55,12.46
Caucayá,100,CO,1644432486,89,-0.1934,-74.7819,78.3,1.5
Kloulklubed,100,PW,1644432487,80,7.0419,134.2556,77.5,12.24
Shintomi,100,JP,1644432487,93,32.0785,131.4723,45.64,4.36
Aiken,0,US,1644432487,37,33.5835,-81.5998,60.12,13.8
Tessalit,0,ML,1644432488,7,20.1986,1.0114,72.61,9.04
Kollo,1,NE,1644432488,10,13.3043,2.339,91.83,9.62
Ayorou,0,NE,1644432488,8,14.7308,0.9174,80.67,10.83
Ōhara,100,JP,1644432489,70,35.25,140.3833,44.01,14.34
Pullman,0,US,1644432489,61,46.7313,-117.1796,50.27,5.75
Encheng,100,CN,1644432489,68,22.1839,112.3026,55.96,6.35
Lavrentiya,61,RU,1644432489,92,65.5833,-171.0,-24.36,7.65
Zhigansk,95,RU,1644432490,98,66.7697,123.3711,-34.53,7.09
Bubaque,11,GW,1644432490,71,11.2833,-15.8333,78.51,14.14
Makassar,40,ID,1644432490,100,-5.14,119.4221,75.25,1.14
Lucea,10,JM,1644432491,68,18.451,-78.1736,83.86,5.23
Ukiah,100,US,1644432491,25,39.1502,-123.2078,74.37,1.54
Green River,99,US,1644432491,42,41.5286,-109.4662,44.15,25.97
Belyy Yar,100,RU,1644432491,76,53.6039,91.3903,-17.14,4.47
Southbridge,0,US,1644432481,48,42.0751,-72.0334,44.37,1.99
Madimba,100,TZ,1644432492,83,-10.4,40.3333,80.01,10.42
Palmer,0,US,1644432492,44,42.1584,-72.3287,45.48,9.22
Tabora,100,TZ,1644432492,88,-5.0167,32.8,67.53,2.35
Rodolfo Sánchez Taboada,6,MX,1644432493,29,31.7167,-116.5667,83.19,0.78
Coyhaique,40,CL,1644432493,42,-45.5752,-72.0662,66.81,8.05
Chicama,100,PE,1644432493,56,-7.8447,-79.1469,72.14,9.95
Bereda,0,ES,1644432493,86,43.2686,-7.5406,55.15,2.17
Mezen',100,RU,1644432494,93,65.8522,44.24,19.83,11.34
Boca do Acre,67,BR,1644432494,57,-8.7522,-67.3978,87.98,4.79
Taldan,92,RU,1644432494,99,53.6667,124.8,-6.9,2.35
Ixtapa,0,MX,1644432494,24,20.7,-105.2,86.56,7.63
Vinh,100,VN,1644432429,90,18.6667,105.6667,63.7,4.92
Huntsville,0,US,1644432495,34,34.7304,-86.5861,62.15,21.99
Luanda,40,AO,1644432359,78,-8.8368,13.2343,78.8,9.22
Te Anau,46,NZ,1644432495,95,-45.4167,167.7167,61.38,3.06
Creel,18,MX,1644432496,20,27.75,-107.6333,53.82,6.69
Souillac,40,MU,1644432496,83,-20.5167,57.5167,77.38,4.61
Challans,6,FR,1644432496,86,46.8436,-1.8749,44.51,6.35
Bambanglipuro,100,ID,1644432496,88,-7.95,110.2833,77.83,11.72
Montorio al Vomano,6,IT,1644432497,59,42.5831,13.6383,55.63,4.61
Macomer,0,IT,1644432497,79,40.262,8.7699,43.63,1.01
Bo Rai,93,TH,1644432497,92,12.5728,102.5371,84.85,1.07
Pontianak,75,ID,1644432497,94,-0.0333,109.3333,75.18,0.0
Port Said,11,EG,1644432498,65,31.2565,32.2841,55.58,28.81
Phalodi,0,IN,1644432498,42,27.1333,72.3667,64.51,7.52
Date,8,JP,1644432498,77,42.4681,140.8681,19.13,5.1
Bingöl,100,TR,1644432383,87,38.8847,40.4939,36.12,3.44
Maragogi,60,BR,1644432499,66,-9.0122,-35.2225,82.92,12.62
Fort Thomas,0,US,1644432499,53,39.0751,-84.4472,52.14,14.97
Sinnamary,31,GF,1644432499,83,5.3833,-52.95,79.03,10.11
Itarema,45,BR,1644432499,64,-2.9248,-39.9167,84.07,13.31
Clyde River,100,CA,1644432500,76,70.4692,-68.5914,-19.97,26.46
Slantsy,100,RU,1644432492,88,59.1182,28.0914,33.6,11.16
Buta,100,CD,1644432500,33,2.7858,24.73,77.36,2.37
Grindavik,75,IS,1644432500,74,63.8424,-22.4338,28.35,20.71
Gualaceo,93,EC,1644432501,69,-2.9,-78.7833,71.26,6.51
Carnot,83,CF,1644432501,19,4.9409,15.8665,76.41,2.95
Bilma,0,NE,1644432501,8,18.6853,12.9164,69.22,11.52
Kostomuksha,100,RU,1644432501,93,64.571,30.5767,21.25,8.84
Izumo,100,JP,1644432502,77,35.3667,132.7667,33.75,6.31
Mitsamiouli,20,KM,1644432502,78,-11.3847,43.2844,82.69,8.05
Yazd,0,IR,1644432358,17,31.8972,54.3675,50.11,4.61
Sindor,100,RU,1644432502,92,62.8629,51.8905,14.76,12.35
Tamale,94,GH,1644432503,10,9.4008,-0.8393,89.1,5.23
Olginskaya,100,RU,1644432503,95,47.1879,39.9492,36.93,9.86
Paraguaçu,36,BR,1644432503,79,-21.5472,-45.7375,70.93,6.42
Fonseca,100,CO,1644432504,50,10.8861,-72.8487,87.28,7.72
Nagorsk,100,RU,1644432504,95,59.3172,50.8078,21.25,7.38
Concepción del Oro,4,MX,1644432504,22,24.6333,-101.4167,55.98,2.28
Tahoua,0,NE,1644432504,6,14.8888,5.2692,85.98,9.22
Aksarka,99,RU,1644432505,99,66.5606,67.7975,-0.9,9.86
Fulton,0,US,1644432505,32,33.7668,-84.4499,62.26,9.22
Coffs Harbour,0,AU,1644432505,94,-30.3,153.1333,59.27,4.61
Matadi,11,CD,1644432505,70,-5.8167,13.45,80.29,5.26
Sovetskiy,71,RU,1644432506,94,61.3614,63.5842,8.49,9.31
Kerema,92,PG,1644432506,86,-7.9631,145.7785,77.43,4.41
Tambacounda,11,SN,1644432506,7,13.7539,-13.7586,90.01,8.05
Topaowan,5,CN,1644432506,91,30.67,112.6895,36.1,4.76
Hirara,82,JP,1644432507,75,24.8,125.2833,68.59,6.6
Roald,75,NO,1644432507,75,62.5833,6.1333,42.33,32.21
Mandera,57,KE,1644432507,16,3.9366,41.867,85.6,10.16
Sumenep,100,ID,1644432508,89,-7.0167,113.8667,77.5,10.69
Chātakonda,16,IN,1644432508,78,17.55,80.65,68.76,7.85
Sur,2,OM,1644432508,62,22.5667,59.5289,70.12,7.67
Kenai,100,US,1644432508,92,60.5544,-151.2583,19.49,5.75
Praia,0,CV,1644432283,44,14.9215,-23.5087,82.94,16.11
Foam Lake,64,CA,1644432509,91,51.65,-103.5343,24.82,2.66
San Quintín,100,MX,1644432509,32,30.4833,-115.95,68.49,4.27
Hvolsvollur,14,IS,1644432509,75,63.7533,-20.2243,32.67,13.49
Thunder Bay,100,CA,1644432510,77,48.4001,-89.3168,30.29,16.11
Port Hawkesbury,100,CA,1644432510,88,45.6169,-61.3485,33.91,18.41
Morondava,73,MG,1644432510,77,-20.2833,44.2833,79.95,10.78
Natchitoches,0,US,1644432511,29,31.7668,-93.1335,65.17,6.91
Atasū,57,KZ,1644432511,99,48.6814,71.6433,-2.38,2.1
Matara,100,LK,1644432511,82,5.9485,80.5353,76.03,4.45
Vardø,100,NO,1644432511,80,70.3705,31.1107,26.8,13.8
Jundiá,88,BR,1644432512,50,-8.9347,-35.5736,87.62,14.85
Tiksi,100,RU,1644432505,93,71.6872,128.8694,-12.23,12.95
Ishigaki,94,JP,1644432512,78,24.3448,124.1572,69.33,7.47
Belaya Gora,69,RU,1644432512,99,68.5333,146.4167,-44.36,5.79
Aranos,51,NA,1644432513,52,-24.1333,19.1167,75.04,4.38
Isangel,100,VU,1644432513,98,-19.55,169.2667,77.99,34.25
Madarounfa,91,NE,1644432513,10,13.3087,7.156,82.63,10.31
Haputale,100,LK,1644432514,77,6.7681,80.9595,59.59,4.23
Husavik,100,IS,1644432514,71,66.0449,-17.3389,24.71,18.37
Nouadhibou,49,MR,1644432514,11,20.931,-17.0347,89.58,4.61
Kalmunai,91,LK,1644432515,82,7.4167,81.8167,76.03,7.05
Kachīry,5,KZ,1644432515,99,53.0675,76.1036,-14.19,5.44
Pulandian,6,CN,1644432515,73,39.3953,121.9669,24.93,2.82
Klaksvík,100,FO,1644432515,98,62.2266,-6.589,32.92,12.5
Riva,0,US,1644432516,55,38.9521,-76.578,58.23,9.22
Kefamenanu,90,ID,1644432516,95,-9.4467,124.4781,72.05,0.09
Fairbanks,100,US,1644432517,74,64.8378,-147.7164,-6.39,4.61
Nishihara,75,JP,1644432517,82,26.1842,127.7558,62.65,5.75
Ordynskoye,6,RU,1644432517,96,54.3656,81.8994,-8.54,8.16
Scarborough,100,GB,1644432504,73,54.2797,-0.4044,44.53,4.0
Mehamn,0,NO,1644432518,74,71.0357,27.8492,26.78,28.77
Beira,20,MZ,1644432518,83,-19.8436,34.8389,80.69,6.91
Yangi Marg`ilon,100,UZ,1644432518,74,40.4272,71.7189,36.82,6.91
Guilin,100,CN,1644432519,89,25.2819,110.2864,42.91,4.05
Ugoofaaru,100,MV,1644432519,73,5.6667,73.0,81.37,10.42
Denpasar,75,ID,1644432519,94,-8.65,115.2167,76.71,11.5
Yauya,94,PE,1644432519,47,-8.9833,-77.3,62.19,6.98
Yerbogachën,65,RU,1644432520,100,61.2767,108.0108,-32.8,2.82
Vostok,56,RU,1644432520,98,46.4856,135.8833,-5.12,4.32
Monrovia,5,LR,1644432520,79,6.3005,-10.7969,80.64,8.66
Province of Mantua,9,IT,1644432520,80,45.1667,10.7833,50.95,1.99
Zhicheng,6,CN,1644432521,89,30.2956,111.5047,37.44,0.85
Praia da Vitória,40,PT,1644432521,82,38.7333,-27.0667,60.76,13.78
Boone,100,US,1644432521,41,39.0334,-92.3335,53.53,5.01
Champasak,83,LA,1644432521,73,14.75,106.0,73.36,1.79
Rūdsar,100,IR,1644432522,59,37.1376,50.288,53.65,7.47
Abu Dhabi,0,AE,1644432329,72,24.4667,54.3667,68.11,4.61
Nantucket,0,US,1644432522,57,41.2835,-70.0995,41.13,11.5
Ürümqi,75,CN,1644432523,85,43.801,87.6005,0.55,4.47
Noyon,81,FR,1644432480,82,49.5833,3.0,47.8,3.98
Quatre Cocos,19,MU,1644432523,78,-20.2078,57.7625,77.11,7.87
Ancud,100,CL,1644432524,66,-41.8697,-73.8203,69.42,11.56
Strelka,52,RU,1644432524,100,58.0728,93.0344,-22.68,1.3
Loandjili,20,CG,1644432524,83,-4.7561,11.8578,80.71,12.66
Polunochnoye,100,RU,1644432524,95,60.8697,60.4153,12.69,7.67
Bograd,94,RU,1644432525,98,54.2344,90.8328,-19.08,5.03
Maningrida,63,AU,1644432525,87,-12.0667,134.2667,78.28,5.79
Ilulissat,100,GL,1644432445,62,69.2167,-51.1,12.22,18.41
Mildura,10,AU,1644432526,55,-34.2,142.15,66.16,9.22
Griffith,75,US,1644432527,69,41.5284,-87.4237,42.89,14.97
Inhambane,0,MZ,1644432527,77,-23.865,35.3833,77.14,7.87
Simao,89,CN,1644432527,56,22.7886,100.9748,48.16,1.54
Plettenberg Bay,0,ZA,1644432527,77,-34.0527,23.3716,66.63,5.97
Eidfjord,100,NO,1644432528,96,60.4675,7.0719,39.6,17.09
Rio Claro,71,BR,1644432312,64,-22.4114,-47.5614,84.02,5.59
Navrongo,0,GH,1644432528,12,10.8956,-1.0921,86.27,7.38
Dāmghān,31,IR,1644432529,44,36.1683,54.348,41.88,1.63
São João da Barra,100,BR,1644432529,88,-21.6403,-41.0511,78.89,11.88
Lewistown,47,US,1644432529,100,40.5992,-77.5714,54.19,8.5
